name,time/op (ns/op),±
Gol/16x16x1000-1-16,1.94351E+07,13%
Gol/16x16x1000-2-16,2.22712E+07,9%
Gol/16x16x1000-3-16,2.80832E+07,13%
Gol/16x16x1000-4-16,3.20597E+07,2%
Gol/16x16x1000-5-16,3.37504E+07,12%
Gol/16x16x1000-6-16,3.21425E+07,3%
Gol/16x16x1000-7-16,3.46243E+07,6%
Gol/16x16x1000-8-16,3.55601E+07,6%
Gol/16x16x1000-9-16,3.58400E+07,6%
Gol/16x16x1000-10-16,3.82106E+07,8%
Gol/16x16x1000-11-16,4.59885E+07,10%
Gol/16x16x1000-12-16,4.59392E+07,4%
Gol/16x16x1000-13-16,4.57202E+07,3%
Gol/16x16x1000-14-16,5.13570E+07,5%
Gol/16x16x1000-15-16,4.92686E+07,11%
Gol/16x16x1000-16-16,4.96654E+07,8%
